Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-05-28,In Case They Don't Arrive,2016,https://boxd.it/6z4mhf,4,,,2017-02-04
2025-08-27,The Negotiation,2018,https://boxd.it/aSpNbt,,,,2018-12-08
2022-10-24,Black Adam,2022,https://boxd.it/3m8TGz,3,,,2022-10-24
2023-12-12,Suzume,2022,https://boxd.it/5jo8S5,3.5,,,2023-03-11
2023-11-06,A Haunting in Venice,2023,https://boxd.it/57yBZV,3,,,2023-11-01
2023-11-06,Love at First Sight,2023,https://boxd.it/57x98x,3.5,,,2023-11-03
2023-11-06,Everything Everywhere All at Once,2022,https://boxd.it/57x6JF,4.5,,,2023-11-04
2023-11-06,Attack on Titan The Final Chapters: Special 1,2023,https://boxd.it/57x4GJ,4.5,,,2023-11-05
2023-11-06,Attack on Titan The Final Chapters: Special 2,2023,https://boxd.it/57x54r,5,,,2023-11-05
2023-11-06,Attack on Titan The Final Chapters: Special 1,2023,https://boxd.it/57x6yn,5,,,2023-11-05
2023-11-30,Kiki's Delivery Service,1989,https://boxd.it/5fgSib,4.5,Yes,,2023-11-12
2023-11-18,The Marvels,2023,https://boxd.it/5baky7,4,,,2023-11-18
2023-11-18,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/5bal1j,4,,,2023-11-18
2023-12-01,20th Century Girl,2022,https://boxd.it/5fyhoR,4.5,,,2023-12-01
2023-12-03,Batman Begins,2005,https://boxd.it/5fXcl9,4.5,,,2023-12-02
2023-12-10,The Dark Knight,2008,https://boxd.it/5iiD0H,5,,,2023-12-09
2023-12-17,The Dark Knight Rises,2012,https://boxd.it/5kMyqt,3.5,,,2023-12-16
2023-12-17,Leave the World Behind,2023,https://boxd.it/5l77nz,3.5,,,2023-12-17
2023-12-24,The Prestige,2006,https://boxd.it/5nAksN,4.5,,,2023-12-23
2023-12-24,Aquaman and the Lost Kingdom,2023,https://boxd.it/5nAliz,3.5,,,2023-12-23
2023-12-31,Raiders of the Lost Ark,1981,https://boxd.it/5rr9pr,3.5,,,2023-12-30
2024-01-01,2001: A Space Odyssey,1968,https://boxd.it/5smOQR,3.5,,,2023-12-31
2024-01-07,TÁR,2022,https://boxd.it/5vRk7V,4,,,2024-01-06
2024-01-14,The Grand Budapest Hotel,2014,https://boxd.it/5A2JUB,4,,,2024-01-13
2024-01-27,The Secret Life of Walter Mitty,2013,https://boxd.it/5GIz3Z,4.5,,,2024-01-26
2024-01-29,Ratatouille,2007,https://boxd.it/5HOSFp,3.5,,,2024-01-28
2024-02-04,Marriage Story,2019,https://boxd.it/5KBStz,3.5,,,2024-02-03
2024-03-03,Mad Max: Fury Road,2015,https://boxd.it/5XlMJL,3.5,,,2024-03-02
2024-03-11,The Devil Wears Prada,2006,https://boxd.it/61CCYr,4,,,2024-03-09
2024-03-17,Austenland,2013,https://boxd.it/63ZQaz,3.5,,,2024-03-16
2024-03-23,The Favourite,2018,https://boxd.it/66JO2N,4,,,2024-03-22
2024-03-30,In the Mood for Love,2000,https://boxd.it/6a1DBb,5,,,2024-03-29
2024-04-06,Falling in Love Like in Movies,2023,https://boxd.it/6dn4Kj,4,,,2024-04-05
2024-04-13,Your Name Engraved Herein,2020,https://boxd.it/6gFAfF,4.5,,,2024-04-13
2024-04-21,Interstellar,2014,https://boxd.it/6jnOkF,4.5,,,2024-04-20
2024-04-22,Dune,2021,https://boxd.it/6kgH0t,4,,,2024-04-21
2024-04-27,Asteroid City,2023,https://boxd.it/6m7FHP,4,,,2024-04-27
2024-05-05,"Love, Divided",2024,https://boxd.it/6pIlMV,3,,,2024-05-05
2024-05-12,Poor Things,2023,https://boxd.it/6s819p,4,,,2024-05-11
2024-05-18,One Day,2011,https://boxd.it/6uN5ot,3,,,2024-05-18
2024-05-20,Monkey Man,2024,https://boxd.it/6vhOV3,4,,,2024-05-19
2024-05-25,Furiosa: A Mad Max Saga,2024,https://boxd.it/6xC5nb,4,,,2024-05-25
2024-05-25,Lost in Translation,2003,https://boxd.it/6xEEsf,2,,,2024-05-25
2024-06-01,Godzilla Minus One,2023,https://boxd.it/6ADaTZ,4.5,,,2024-06-01
2024-06-01,Saltburn,2023,https://boxd.it/6AEPKL,3.5,,,2024-06-01
2024-06-08,Hit Man,2023,https://boxd.it/6DqkTL,3.5,,,2024-06-08
2024-06-15,Dune: Part Two,2024,https://boxd.it/6Gdgj1,4,,,2024-06-15
2024-06-16,The First Slam Dunk,2022,https://boxd.it/6GEpn1,4.5,,,2024-06-16
2024-06-23,All of Us Strangers,2023,https://boxd.it/6IYt1B,3.5,,,2024-06-22
2024-06-30,Brokeback Mountain,2005,https://boxd.it/6LLwmj,3.5,Yes,,2024-06-29
2024-07-07,The Killer,2023,https://boxd.it/6OIHMD,3.5,,,2024-07-06
2024-07-14,Wish,2023,https://boxd.it/6RPVD7,3,,,2024-07-13
2024-07-20,Anyone But You,2023,https://boxd.it/6UY9mx,3.5,,,2024-07-20
2024-07-27,Please Tell Me So,2021,https://boxd.it/6Y8E9L,3.5,,,2024-07-27
2024-07-28,Find Me Falling,2024,https://boxd.it/6YFxH3,3,,,2024-07-27
2024-07-28,Deadpool & Wolverine,2024,https://boxd.it/6YFtCN,4,,,2024-07-28
2024-08-04,The Nanny Diaries,2007,https://boxd.it/71hZDR,3.5,,,2024-08-03
2024-08-18,My Precious,2023,https://boxd.it/77tunV,4,,,2024-08-17
2024-08-24,Un/Happy for You,2024,https://boxd.it/7aGoGP,3.5,,,2024-08-24
2024-09-01,Eternal Summer,2006,https://boxd.it/7dYhm7,3,,,2024-08-31
2024-09-01,Given,2020,https://boxd.it/7esRkV,3.5,,,2024-09-01
2024-09-07,Se7en,1995,https://boxd.it/7h8yHt,4,,,2024-09-07
